Name;address;Ville;CP;telephone;site
 Lecocq  Pascal ; 97  rte  Col  du  Feu ;74550;ORCIER; 04  50  26  52  91 ;http://auvieuxpecher.blogspot.fr
 Le  Cappadoce ; 6  r  Gare ;74000;ANNECY; 04  50  51  33  34 ;None
Alpenrose; 1141  rte  Pélerins ;74400; CHAMONIX  MONT  BLANC ; 04  50  53  77  92 ;www.chamonix-alpenrose.com
Fit-Corps; 34  r  Sommeiller ;74000;ANNECY; 09  72  96  68  28 ;http://drgoodfoodrestaurant.com
 Pizza  U  Revola ; 331  rte  Framboises ;74140; SAINT  CERGUES ; 04  50  43  54  03 ;fr-fr.facebook.com
Pizz'a'go; 53  r  Crêt  Baron ;74200;ALLINGES; 04  50  76  70  97 ;http://www.pizzalino.fr
 Restaurant  Le  Léman  SARL ; Lieu  Dit  Port  De  Sechex  2  rte  Mouettes ;74200;MARGENCEL; 04  50  72  63  16 ;www.restaurant-le-leman.fr
 Les  Voiles ; 31  r  Oberstdorf ;74120;MEGÈVE; 09  88  30  61  70 ;http://les-voiles.ch/megeve-accueil
 En  Haut  D'la  Côte ; 2  r  Vignes ;74000;MEYTHET; 04  50  24  00  83 ;http://www.lepandagourmet.eatbu.com
 Restaurant  Le  Duché ; 170  r  César  Vuarchex ;74950;SCIONZIER; 04  50  98  16  71 ;http://www.hotel-faucigny.com
 Chez  Papaz ; 35  pl  Pré  de  Foire ;74220; LA  CLUSAZ ; 04  50  02  40  14 ;www.facebook.com
 Restaurant  les  Mandarines ;Arbois;74120;MEGÈVE; 04  50  21  31  27 ;http://www.lesmandarines.fr
Spaggiari; 41  arcades  Mont  Blanc ;74120;MEGÈVE; 04  50  98  89  88 ;http://www.spaggiari.fr
 Restaurant  le  Fangle ;Avoriaz;74110;MORZINE; 04  50  74  02  24 ;www.facebook.com
 1ER  METS ; 2  pl  St  Maurice ;74000;ANNECY; 04  57  09  10  54 ;http://www.restaurant-1ermets.fr
 Brasserie  Le  Saint  Georges ; 40  rte  Frangy ;74000;MEYTHET; 04  50  22  02  27 ;www.facebook.com
 Refuge  de  Pré  Verel ; Route  Du  Col  De  L'aulp  Talloires  Montmin ;74210; TALLOIRES  MONTMIN ; 06  07  13  50  72 ;http://www.preverel.info
 L  ATERRO ; Talloires  150  chem  Pré  Monteux ;74290; TALLOIRES  MONTMIN ; 04  50  60  01  57 ;None
 LA  BOLEE  SARL  MER  ET  MONTAGNE ; r  Ile ;74000;ANNECY; 09  61  32  77  22 ;None
 Crêperie  La  Fandioleuse ; 24  chem  Cour ;74340;SAMOËNS; 04  50  34  98  28 ;http://auxboistordus.com
