;Nom;Adresse;Code_Postal;Ville;Telephone;Site_Internet;Menu;Prix_Menu;Style_Culinaire;Note;Suggestion;Prix_Suggestion;Prestation;Horaires;Longitude;Latitude
17;Restaurant Le Clos Des Sens;13 r Jean Mermoz;74940;ANNECY LE VIEUX;04 50 23 07 90;www.closdessens.com;;;;;;;['Table gastronomique', 'Parking', 'Animaux acceptés', 'Terrasse', 'Repas de groupes', 'Accès aux personnes à mobilité réduite', 'Facilités bébés', 'Restaurants ', 'Hôtels '];['Lundi', 'Mardi', '19h45 - 21h30', 'Mercredi', '12h00 - 13h30', '19h30 - 21h30', 'Jeudi', '12h00 - 13h30', '19h30 - 21h30', 'Vendredi', '12h00 - 13h30', '19h45 - 21h30', 'Samedi', '12h00 - 13h30', '19h45 - 21h30', 'Dimanche'];45.917819;6.144739
18;McDonald's Sallanches;Centre Cial Carrefour 1805 rte Genève;74700;SALLANCHES;04 50 47 87 27;www.restaurants.mcdonalds.fr;;;fast food;1.0;;;"[""L'Happy anniversaire"", 'Wifi', 'Burger', 'Accès handicapés', 'Les Sandwichs', 'Climatisation', ""L'offre Happy Meal"", 'Vente à emporter', 'Les Desserts', ""L'offre McCafé"", 'Facilités bébés', 'McDrive', 'Fast Food', 'Les Salades', 'Hamburger', 'Les Menus', 'Commande en ligne', 'Les Boissons', 'burger', 'Restauration rapide ', 'Restaurants ']";['Lundi', '10h30 - 23h30', 'Mardi', '10h30 - 23h30', 'Mercredi', '10h30 - 23h30', 'Jeudi', '10h30 - 23h30', 'Vendredi', '10h30 - 23h30', 'Samedi', '10h30 - 23h30', 'Dimanche', '10h30 - 23h30'];45.951683;6.629857
19;L'Estaminet;8 r Ste Claire;74000;ANNECY;04 50 45 88 83;https://www.lestaminet-annecy.fr;;;Restaurant français;5.0;;;['Animaux acceptés', 'Menus enfants', 'Climatisation', 'Repas de groupes', 'restaurant avec terrasse', 'Langue parlée : anglais', 'Restaurant', 'Terrasse', 'Service en salle', 'Restaurants ', 'Cafés, bars '];['Lundi', 'Mardi', '09h00 - 00h00', 'Mercredi', '09h00 - 00h00', 'Jeudi', '09h00 - 00h00', 'Vendredi', '09h00 - 00h00', 'Samedi', '09h00 - 01h00', 'Dimanche', '08h30 - 18h00'];45.898411;6.125102
20;McDonald's Scionzier;12 r Industrie;74950;SCIONZIER;04 50 89 73 41;www.restaurants.mcdonalds.fr;;;fast food;1.0;;;"['Les Menus', 'Vente à emporter', ""L'offre Happy Meal"", 'Commande en ligne', ""L'offre McCafé"", 'Hamburger', 'McDrive', 'Les Salades', ""L'Happy anniversaire"", 'Accès handicapés', 'Les Boissons', 'Les Sandwichs', 'Les Desserts', 'Wifi', 'Fast Food', 'Climatisation', 'Burger', 'Facilités bébés', 'burger', 'Restauration rapide ', 'Restaurants ']";['Lundi', '10h30 - 22h30', 'Mardi', '10h30 - 22h30', 'Mercredi', '10h30 - 22h30', 'Jeudi', '10h30 - 22h30', 'Vendredi', '10h30 - 22h30', 'Samedi', '10h30 - 23h00', 'Dimanche', '10h30 - 22h30'];46.06699;6.554719
21;L'Ancoly;445 chem Gettiers;74450;LE GRAND BORNAND;06 84 05 79 80;http://www.ancoly.com/;;;restaurant traditionnel;5.0;;;"['terrasse', 'restaurant repas de groupe', 'accès handicapés', ""restaurant d'altitude"", 'brasserie']";['Lundi', '09h00 - 17h00', 'Mardi', '09h00 - 17h00', 'Mercredi', '09h00 - 17h00', 'Jeudi', '09h00 - 17h00', 'Vendredi', '09h00 - 17h00', 'Samedi', '09h00 - 17h00', 'Dimanche', '09h00 - 17h00'];;
22;L'ASTI;17 av Cran;74000;ANNECY;04 50 67 08 57;www.restaurant-pizzeria-annecy.fr;;;Restaurant français;5.0;;;"['Parking', ""repas de groupes, d'anniversaire"", 'Terrasse couverte', 'Wi-fi', 'plat à emporter', 'Climatisation', 'Accès aux personnes à mobilité réduite', 'Restaurants ', 'Pizzerias ']";['Lundi', '07h30 - 15h00', '18h00 - 22h00', 'Mardi', '07h30 - 15h00', '18h00 - 22h00', 'Mercredi', '07h30 - 15h00', '18h00 - 22h00', 'Jeudi', '07h30 - 15h00', '18h30 - 23h00', 'Vendredi', '07h30 - 15h00', '18h30 - 23h00', 'Samedi', '10h00 - 15h00', '18h30 - 23h00', 'Dimanche'];45.905561;6.118968
23;Le Poisson Rouge;20 prom Seines;74320;SEVRIER;04 50 52 40 48;www.opoissonrouge.com;;;Restaurant français;1.0;;;['Cuisine traditionnelle', 'terrasse', 'Poissons et fruits de mer', 'Repas de groupes', 'Espace privatisable', 'Facilités bébés', 'restaurant avec terrasse', 'Organisation de mariages, de communions, de séminaires et autres', 'Grande terrasse', 'Langue parlée : anglais', 'Parking', 'Menus pour enfants'];['Lundi', '10h00 - 14h00', '18h00 - 01h00', 'Mardi', '10h00 - 14h00', '18h00 - 01h00', 'Mercredi', '10h00 - 14h00', '18h00 - 01h00', 'Jeudi', '10h00 - 14h00', '18h00 - 01h00', 'Vendredi', '10h00 - 14h00', '18h00 - 01h00', 'Samedi', '10h00 - 14h00', '18h00 - 01h00', 'Dimanche', '10h00 - 14h00', '18h00 - 01h00'];45.867389;6.143355
24;Restaurant Le Republic;16 r Liberté;74330;EPAGNY METZ TESSY;04 50 22 50 38;www.facebook.com/pages/category/Pizza-Place/Le-Republic-Epagny-189452131619316;['Menu du jour : ', 'Entrée+Plat ou Plat+Dessert : ', 'Plat du jour : ', 'Entrée+Plat+Fromage+Dessert : '];['16.50 €', '15.10 €', '12.00 €', '18.50 €'];Restaurant français;5.0;;;['Repas de groupes', 'Facilités bébés', 'Accès aux personnes à mobilité réduite', 'Terrasse', 'Pizzas à emporter', 'Pizzeria', 'Parking', 'Brasserie'];['Lundi', '10h00 - 15h00', '17h30 - 00h00', 'Mardi', '10h00 - 15h00', '17h30 - 00h00', 'Mercredi', '10h00 - 15h00', '17h30 - 00h00', 'Jeudi', '10h00 - 15h00', '17h30 - 00h00', 'Vendredi', '10h00 - 15h00', '17h30 - 00h00', 'Samedi', '10h00 - 15h00', '17h30 - 00h00', 'Dimanche'];45.93853;6.091145
25;McDonald's Chamonix Centre Ville;122 r Michel Croze;74400;CHAMONIX MONT BLANC;04 50 53 31 13;www.restaurants.mcdonalds.fr;;;fast food;5.0;;;"[""L'Happy anniversaire"", 'Wifi', 'Burger', 'Accès handicapés', 'Les Sandwichs', 'Climatisation', ""L'offre Happy Meal"", 'Vente à emporter', 'Les Desserts', ""L'offre McCafé"", 'Facilités bébés', 'McDrive', 'Fast Food', 'Les Salades', 'Hamburger', 'Les Menus', 'Commande en ligne', 'Les Boissons', 'burger', 'Restauration rapide ', 'Restaurants ']";['Lundi', '09h00 - 23h00', 'Mardi', '09h00 - 23h00', 'Mercredi', '09h00 - 23h00', 'Jeudi', '09h00 - 23h00', 'Vendredi', '09h00 - 23h00', 'Samedi', '09h00 - 23h00', 'Dimanche', '09h00 - 23h00'];45.923435;6.871382
26;KFC Annecy Seynod;12 chem Périaz;74600;SEYNOD;04 50 51 67 41;www.facebook.com;;;Restauration rapide;5.0;;;['Sur place', 'Vegan', 'Poulet grillé', 'Hamburger', 'Poulet', 'Chèques Vacances', 'Drive', 'Salade', 'A emporter', 'Wrap', 'WIFI', 'Uber Eats', 'Bornes de commande', 'Burger', 'Aire de jeux'];['Lundi', '11h00 - 23h00', 'Mardi', '11h00 - 23h00', 'Mercredi', '11h00 - 23h00', 'Jeudi', '11h00 - 23h00', 'Vendredi', '11h00 - 23h00', 'Samedi', '11h00 - 23h00', 'Dimanche', '11h00 - 23h00'];45.878116;6.089764
