,Nom,Adresse,Code_Postal,Ville,Telephone,Site_Internet,Style_Culinaire,Note,Suggestion,Prestation,Horaires,Longitude,Latitude
254,Bella Pizza,164 av Jura,74890,BONS EN CHABLAIS,04 50 95 94 08,http://www.bella-pizza.fr,,,,,"['Lundi', '11h00 - 15h00', '18h00 - 22h00', 'Mardi', '11h00 - 15h00', '18h00 - 22h00', 'Mercredi', '11h00 - 15h00', '18h00 - 22h00', 'Jeudi', '11h00 - 15h00', '18h00 - 22h00\n ', 'Vendredi', '11h00 - 15h00', '18h00 - 22h00', 'Samedi', '11h00 - 15h00', '18h00 - 22h00', 'Dimanche', '18h00 - 22h00']",,
255,Chez Jean,483 rte Gollet,74120,MEGÈVE,04 50 55 35 90,http://arboisie-megeve.com/nos-restaurants/chez-jean-2/,,,"Nems au reblochon / Pâté de mon amatxi / Burger chic / Filet de bar rôti, sauce au beurre blanc / Mont-Blanc / Pavlova",46-60 euros ,,,
256,Martine Claire Restobus la ligne 13,4 av Genévriers,74200,THONON LES BAINS,04 50 71 18 59,www.facebook.com,,,,plat à emporter / terrasse / parking / restaurant repas de groupe,"['Lundi', '09h00 - 18h30', 'Mardi', '09h00 - 18h30', 'Mercredi', '09h00 - 18h30', 'Jeudi', '09h00 - 18h30', 'Vendredi', '09h00 - 23h00', 'Samedi', 'Dimanche']",,
257,Bistrot Perrière,7 r Perrière,74000,ANNECY,04 50 45 79 90,www.facebook.com/LaTaverneSavoyarde,Restaurant savoyard,1.0,,plat à emporter / animaux acceptés / terrasse / parking / facilité bébé / restaurant repas de groupe,"['Lundi', '11h30 - 14h30', '18h00 - 22h30', 'Mardi', '11h30 - 14h30', '18h00 - 22h30', 'Mercredi', '11h30 - 14h30', '18h00 - 22h30', 'Jeudi', '11h30 - 14h30', '18h00 - 22h30', 'Vendredi', '11h30 - 14h30', '18h00 - 22h30', 'Samedi', '11h30 - 14h30', '18h00 - 22h30', 'Dimanche', '11h30 - 14h30', '18h00 - 22h30']",,
258,Lyly,3 av Chevêne,74000,ANNECY,04 50 45 62 78,,,,,animaux acceptés / parking / facilité bébé / restaurant repas de groupe / climatisation,"['Lundi', 'Mardi', '11h30 - 14h30', '18h30 - 22h00', 'Mercredi', '11h30 - 14h30', '18h30 - 22h00', 'Jeudi', '11h30 - 14h30', '18h30 - 22h00', 'Vendredi', '11h30 - 14h30', '18h30 - 22h00', 'Samedi', ' 11h30 - 14h30', '18h30 - 22h00', 'Dimanche', '11h30 - 14h30', '18h30 - 22h00']",,
259,Camping L'Idéal,715 rte Chaparon,74210,LATHUILE,04 50 23 75 28,http://www.campingideal.com/fr,,,,"Location de vélos  / Location de caravanes, de mobile homes  / Location d'appartements  / Restaurants  / Campings ",,,
260,Julce 74,chem Hutins,74140,LOISIN,04 50 35 99 31,www.facebook.com,,,,Restauration rapide ,"['Lundi', '06h30 - 19h30', 'Mardi', '06h30 - 19h30', 'Mercredi', '06h30 - 19h30', 'Jeudi', '06h30 - 19h30', 'Vendredi', '06h30 - 19h30', 'Samedi', '06h30 - 19h30', 'Dimanche', '07h00 - 12h00']",,
261,Le Fournil D'Or,21 Grande Rue,74300,CLUSES,09 72 86 69 36,,,,,,,,
262,Burger Flip,Les Sorbiers 34 r Pommaries,74940,ANNECY LE VIEUX,04 50 08 75 71,,,,,,,,
263,Brasserie de l'Abbaye de Talloires,chem Moines,74290,TALLOIRES MONTMIN,04 50 60 77 33,http://www.abbaye-talloires.com/fr/brasserie-1152,,,"L'oeuf bio cocotte, façon meurette / Le pâté en croûte Abbaye de Talloires / La féra du lac d'Annecy / La joue de boeuf confite à la bière de Savoie",31-45 euros ,"['Lundi', '12h00 - 15h00', 'Mardi', '12h00 - 15h00', 'Mercredi', '12h00 - 15h00', 'Jeudi', '12h00 - 15h00', 'Vendredi', '12h00 - 15h00', 'Samedi', 'Dimanche']",,
