;Nom;Adresse;Code_Postal;Ville;Telephone;Site_Internet;Style_Culinaire;Note;Suggestion;Prestation;Horaires;Longitude;Latitude
1508;Seaside;24 r St Michel;06500;MENTON;04 93 35 85 83;;;;;;;;
1509;Roof 06;L'andrea Park 52 av Grasse;06800;CAGNES SUR MER;04 93 20 81 08;;;;;;;;
1510;SAINBIOSE;364 all Marine Royale;06210;MANDELIEU LA NAPOULE;04 92 97 54 07;;;;;animaux acceptés / terrasse / parking / facilité bébé / restaurant repas de groupe / wifi / brasserie;['Lundi', '09h00 - 19h30', 'Mardi', '09h00 - 19h30', 'Mercredi', '09h00 - 19h30', 'Jeudi', '09h00 - 19h30', 'Vendredi', '09h00 - 19h30', 'Samedi', '09h00 - 19h30', 'Dimanche'];;
1511;RESTAURANT LA TAVOLA NAPOLI SARL;11 r Poilu;06230;VILLEFRANCHE SUR MER;09 51 13 52 55;;;;;plat à emporter / terrasse / climatisation;['Lundi', 'Mardi', '12h00 - 15h00', '17h00 - 22h30', 'Mercredi', '12h00 - 15h00', '17h00 - 22h30', 'Jeudi', '12h00 - 15h00', '17h00 - 22h30', 'Vendredi', '12h00 - 15h00', '17h00 - 22h30', 'Samedi', '12h00 - 15h00', '17h00 - 22h30', 'Dimanche', '12h00 - 15h00', '17h00 - 22h30'];;
1512;Le VERY'TABLE;1 bd Gorbella;06100;NICE;06 26 44 59 58;www.facebook.com;cuisine française;4.0;Bagels;coffee-shop / terrasse / bagel / wifi;['Lundi', '08h30 - 17h30', 'Mardi', '08h30 - 17h30', 'Mercredi', '08h30 - 17h30', 'Jeudi', '08h30 - 17h30', 'Vendredi', '08h30 - 17h30', 'Samedi', 'Dimanche'];;
1513;O'Zami Sushi;55 che Val Fleuri;06800;CAGNES SUR MER;06 79 00 27 65;;;;;Sushi ;;;
1514;Au Grand Inquisiteur;15 18 Le Village 15 r Château;06190;ROQUEBRUNE CAP MARTIN;04 93 35 05 37;http://www.augrandinquisiteur.com;cuisine française;5.0;Dôme nougat au coeur abricot / Entremet au citron, orange et pamplemousse en fine gelée de mandarine / Médaillon de foie gras mi-cuit, confiture mi-figure mi-raisin / Tartelette aux cuisses de grenouilles désossées et aux mousserons / Caille désossée rôtie, farce paysanne / Cuisses de canette confites au miel et aux raisins blonds;restaurant végétarien / restaurant végétalien / parking / restaurant casher / restaurant repas de groupe / restaurant halal / restaurant bio / climatisation;['Lundi', '19h00 - 21h30', 'Mardi', '19h00 - 21h30', 'Mercredi', '19h00 - 21h30', 'Jeudi', '19h00 - 21h30', 'Vendredi', '19h00 - 21h30', 'Samedi', '19h00 - 21h30', 'Dimanche', '19h00 - 21h30'];;
1515;LOMAPA SNC;72 r Arson;06300;NICE;04 89 22 70 96;;;;;;;;
1516;RVTS;pl Jeanne d'Arc;06210;MANDELIEU LA NAPOULE;04 93 47 73 90;;;;;;;;
1517;Ce la Vi;Ens Voute 8 Sablettes;06500;MENTON;04 93 17 64 79;www.facebook.com;;;;bar / coffee-shop / bar à vin / parking;;;
1518;La folie douce;633 quart Lei Mourlanchinies;06510;CARROS;06 03 41 22 22;;;;;crêperie;;;
1519;Le saint jean;pl Clemenceau;06230;SAINT JEAN CAP FERRAT;06 21 70 37 97;;;;;;['Lundi', 'Mardi', '12h00 - 14h00', '19h00 - 21h00', 'Mercredi', '12h00 - 14h00\n ', '19h00 - 21h00', 'Jeudi', '12h00 - 14h00', '19h00 - 21h00', 'Vendredi', '12h00 - 14h00', '19h00 - 21h00', 'Samedi', '12h00 - 14h00', '19h00 - 21h00', 'Dimanche', '12h00 - 14h00', '19h00 - 21h00'];;
1520;Time Out;Juan les Pins 7 av Am Courbet;06160;ANTIBES JUAN LES PINS;09 53 42 65 06;www.facebook.com;;;;parking;;;
1521;Phnom Penh Fast Food;2 r Préfecture;06300;NICE;04 93 85 01 52;www.facebook.com;;;;plat à emporter / terrasse / facilité bébé / climatisation / fast Food;['Lundi', '11h00 - 23h00', 'Mardi', '11h00 - 23h00', 'Mercredi', '11h00 - 23h00', 'Jeudi', '11h00 - 23h00', 'Vendredi', '11h00 - 23h00', 'Samedi', '11h00 - 23h00', 'Dimanche', '11h00 - 23h00'];;
1522;32 AGUILLON;32 bd Aguillon;06600;ANTIBES JUAN LES PINS;04 97 04 43 83;;;;;;;;
1523;CAMPING SAINT LOUIS Caravaning Saint Louis;Domaine Des Chenes 2160 av République;06550;LA ROQUETTE SUR SIAGNE;04 92 19 23 13;http://www.campingsaintlouis.com;cuisine française;2.0;;Espace jeux  / Parking  / Piscine  / Cuisine française  / Restaurants  / Campings ;;;
1524;Pomodoro;11 r Migrainier;06600;ANTIBES JUAN LES PINS;04 93 34 57 12;pomodoro.fr;;;Pasta / Ravioli / Marguerite / Reine / Pomodoro / Funghi;;;;
1525;Miamici;20 bd Victor Hugo;06000;NICE;04 97 03 22 25;http://mi-amici.com;;;Burratina / Finocchiona Toscana IGP / Acciuga / Carpaccio Manzo / Carpaccio d'Espadon;Cafés, bars  / Restaurants ;['Lundi', '12h00 - 01h00', 'Mardi', '12h00 - 01h00', 'Mercredi', '12h00 - 01h00', 'Jeudi', '12h00 - 01h00', 'Vendredi', '12h00 - 01h00', 'Samedi', '12h00 - 01h00', 'Dimanche', '12h00 - 01h00'];;
1526;JARDIN DU MAS;Mas Orangers 15 r Tines;06410;BIOT;04 97 04 88 32;www.facebook.com;;;;Restaurants avec terrasse  / Restaurants bio  / Restaurants pour réceptions, pour séminaires  / Restaurants ;;;
1527;Delaporte Pierre;10 r Verrerie, Cannes la Bocca;06150;CANNES;04 89 89 37 33;;;;;;;;
1528;Ville De Sienne;10 r St Vincent;06300;NICE;04 93 80 12 45;www.facebook.com;restaurant méditerranéen;4.0;Assortiment de fromage / Melon nature / Gnocchi tomate basilic / Pizza capricciosa / Panna cotta au caramel, chocolat ou framboise / Tiramisu;animaux acceptés / terrasse / parking / Zone fumeur / facilité bébé / restaurant repas de groupe / climatisation / wifi;['Lundi', '12h00 - 14h00', '19h00 - 23h00', 'Mardi', '12h00 - 14h00', '19h00 - 23h00', 'Mercredi', '12h00 - 14h00', 'Jeudi', '12h00 - 14h00', '19h00 - 23h00', 'Vendredi', '12h00 - 14h00', '19h00 - 23h00', 'Samedi', '12h00 - 14h00', '19h00 - 23h00', 'Dimanche'];43.696964;7.275069
1529;LE PONT VERS KIEV;26 qu Lunel;06300;NICE;09 54 17 09 79;www.facebook.com/Le-pont-vers-Kiev-996230220398688;;;Plateau ukrainien / Galette de pommes de terre avec du caviar rouge / Soupe Bortsch / Syrnyky aux fruits rouges;21-30 euros ;;;
1530;Restaurant la Pinède;10 bd Raymond Gramaglia;06320;CAP D'AIL;04 93 78 37 10;http://www.restaurantlapinede.com;;;Carpaccio de poisson / Friture mélangée / Gambas grillées ail et basilic / Loup en croûte de sel avec légume du jour / Dame blanche / Pamplemousse aux fraises;animaux acceptés / terrasse / parking / facilité bébé / restaurant repas de groupe;['Lundi', '12h00 - 14h30', '19h00 - 22h30', 'Mardi', '12h00 - 14h30', '19h00 - 22h30', 'Mercredi', 'Jeudi', '12h00 - 14h30', '19h00 - 22h30', 'Vendredi', '12h00 - 14h30', '19h00 - 22h30', 'Samedi', '12h00 - 14h30', '19h00 - 22h30', 'Dimanche', '12h00 - 14h30', '19h00 - 22h30'];;
1531;Restaurant L'Azur;75 prom Plage;06800;CAGNES SUR MER;04 92 04 17 64;;cuisine française;5.0;Escargots de Bourgogne Beurre à l'ail x 6 / Fois Gras de canard entier mi-cuit aux piments d'Espelette / Côte de Boeuf 500gr / Mix Grill de la Mer / Café Gourmand / Ile Flottante;accès handicapés / brasserie;['Lundi', '09h00 - 23h00', 'Mardi', '09h00 - 23h00', 'Mercredi', '09h00 - 23h00', 'Jeudi', '09h00 - 23h00', 'Vendredi', '09h00 - 23h00', 'Samedi', '09h00 - 23h00', 'Dimanche', '09h00 - 23h00'];;
1532;L'Alaska;av Winston Churchill;06190;ROQUEBRUNE CAP MARTIN;04 93 35 40 82;;;;;Restauration rapide ;;;
1533;Kim Do;12 r Barthélémy, Cannes la Bocca;06150;CANNES;04 93 47 62 26;;cuisine du monde;5.0;;plat à emporter / animaux acceptés / terrasse / parking / restaurant repas de groupe;['Lundi', 'Mardi', '12h00 - 14h30', '18h45 - 22h30', 'Mercredi', '12h00 - 14h30', '18h45 - 22h30', 'Jeudi', '12h00 - 14h30', '18h45 - 22h30', 'Vendredi', '12h00 - 14h30', '18h45 - 22h30', 'Samedi', '12h00 - 14h30', '18h45 - 22h30', 'Dimanche', '12h00 - 14h30', '18h45 - 22h30'];;
1534;Star Duo;13 r Guyau;06500;MENTON;04 93 28 49 81;;;;;;['Lundi', '10h00 - 12h00', '18h30 - 22h00', 'Mardi', '10h00 - 12h00', '18h30 - 22h00', 'Mercredi', '10h00 - 12h00', '18h30 - 22h00', 'Jeudi', '10h00 - 12h00', '18h30 - 22h00', 'Vendredi', '10h00 - 12h00', '18h30 - 22h00', 'Samedi', '10h00 - 12h00', '18h30 - 22h00', 'Dimanche', '18h30 - 22h00'];;
